# Time (month),SOLIN (W/m2),TS (K),FSNSC (W/m2),FLUT (W/m2),FSNS (W/m2),FLNS (W/m2),FLNTC (W/m2),FSNTC (W/m2),FLNT (W/m2),FLUTC (W/m2),FSNT (W/m2)
6.300000000000000000e+01,3.380461108871218130e+02,2.900219779926443948e+02,2.137554831722833057e+02,2.359022453878955616e+02,1.650578772608726581e+02,5.227373792139777464e+01,2.563833214645199519e+02,2.845942977393689262e+02,2.344857784343582239e+02,2.577997884978368006e+02,2.398885286339664447e+02
6.400000000000000000e+01,3.329646889944767167e+02,2.910163348986654910e+02,2.077452077447851195e+02,2.374627739151086132e+02,1.604011017462374866e+02,5.221076605903793677e+01,2.581124132350719833e+02,2.790777538190966993e+02,2.360634031030157018e+02,2.595117839669484283e+02,2.355478148049856770e+02
6.500000000000000000e+01,3.298736233107106273e+02,2.918365877047889398e+02,2.065208538285307611e+02,2.401424410047092977e+02,1.576136332155238051e+02,5.159514382651901343e+01,2.604719689095382478e+02,2.788645029044793660e+02,2.387454482104134570e+02,2.618689616033652783e+02,2.338867876043766785e+02
6.600000000000000000e+01,3.294832371646313618e+02,2.919921314304928046e+02,2.088039377548457765e+02,2.411984386894400529e+02,1.578110833053471254e+02,5.026863338654298730e+01,2.610802160205967652e+02,2.816587587849948591e+02,2.397980605163016321e+02,2.624805941940243770e+02,2.345078499674436046e+02
6.700000000000000000e+01,3.319162397577518959e+02,2.916639529642668549e+02,2.121350596929324865e+02,2.403426140111432403e+02,1.595142286906526863e+02,4.948887312304478314e+01,2.602194127210925103e+02,2.848368727757503507e+02,2.389318158397028071e+02,2.616302108506033051e+02,2.361598268455962568e+02
6.800000000000000000e+01,3.365665217557847768e+02,2.911239708259311101e+02,2.160946590864168400e+02,2.396886880312727612e+02,1.642149365812935571e+02,5.085156666602129860e+01,2.590782412744002841e+02,2.877685633168384243e+02,2.382787086377924197e+02,2.604882206373403051e+02,2.400379089012230054e+02
6.900000000000000000e+01,3.423565764034953531e+02,2.902933922766806631e+02,2.191150212849108243e+02,2.380133659706858396e+02,1.660716853641838782e+02,5.114937489285008354e+01,2.573289420412922937e+02,2.898818994703823932e+02,2.365840840815686477e+02,2.587582238465000160e+02,2.415249728065794272e+02
7.000000000000000000e+01,3.477552318303930861e+02,2.891926196844511310e+02,2.209980787260911370e+02,2.358051512273401897e+02,1.669387652241386490e+02,5.085386007634776462e+01,2.552252907991997120e+02,2.912823413950155214e+02,2.343447461481405298e+02,2.566856959788174208e+02,2.422264119863195049e+02
7.100000000000000000e+01,3.511677614972420542e+02,2.883301356316937927e+02,2.230684718286670432e+02,2.348659640123290160e+02,1.671141167033026136e+02,5.035313753501857548e+01,2.540941292674302190e+02,2.938540885043865387e+02,2.333836321368112579e+02,2.555764612122659400e+02,2.431190662402595706e+02
7.200000000000000000e+01,3.515032055601481034e+02,2.881160930896776904e+02,2.250344067212126618e+02,2.363323571079038743e+02,1.700461456692853233e+02,5.058800457325419586e+01,2.544724056465254023e+02,2.965785693086037327e+02,2.348441189536488594e+02,2.559606437094281262e+02,2.466006597170892576e+02
7.300000000000000000e+01,3.487915157855871371e+02,2.886218766049329361e+02,2.250874997278026797e+02,2.356669438647084576e+02,1.706341913873443730e+02,5.145298009115275306e+01,2.548713593052872000e+02,2.963105907570647446e+02,2.341935945845647211e+02,2.563447085787540800e+02,2.466102662308102254e+02
